Label,Latitude,Longitude,ID,Place Name,Place Type,Place Address
18,13.6180474,79.4334375,d5295125570736491cd66109e006ec9dab74c305,A1 Medical Shop,pharmacy,"Padmavathi Puram, Tirupati"
11,13.6418232,79.4279929,9988207446096a89e1dbb97fd4f55c05caa177b5,Amaravathi Medical & Fancy,pharmacy,"20-3-125/E Akkarampalli Road, Leelamahal, Junction, Akkarampalle, Tirupati"
14,13.6186701,79.4090697,e6b8ee3014ccdca96b03ba54771d2c8342c2e7cc,Anusha Medicals & Fancy,pharmacy,"D.No : 5-254, Ullipattida, Vasavi Nagar, M R Palli Road, Tirupati"
2,13.6338203,79.4196429,3e0f71a8c3a9da22c9650844bdf532195a677b14,Apollo Pharmacy,pharmacy,"Door No, 114/B, Theertha Katta Street, Rayalaseema, Tirupati"
2,13.6314977,79.4196582,8de32bfab1cbccc3ea7dffa95542a94559a80eaf,Apollo Pharmacy,pharmacy,"Door No 12/3, near Nalugu Kalla Mandapam, 328 & 329, Tilak Road, Rayalaseema, Tirupati"
6,13.6253395,79.4104408,cf17bddc5bf78996d3630bd55bad69984c2da5e7,Apollo Pharmacy,pharmacy,"Door No 8/156 New, Sy No 208 & 252 Sri Balaji Co op House Society, M R Palli Road, Tirupati"
6,13.6221727,79.4102523,00a3bc60250e4d59e1419d839b84ef7a10dfca8b,Apollo Pharmacy,pharmacy,"No 7/131, Shop, Door, No 1, Shanthi Nagar Road, M.R.Pally, Tirupati"
6,13.6229538,79.4095892,a8e381acc5b1784eba8b46af495b715edf90a395,Apollo pharmacy,pharmacy,"9, 15, MR Palli Road, Amaravathi Nagar, Padmavathi Nagar, Tirupati"
11,13.6421305,79.4283156,fdbd70e5983fa5628714e73ca39a9dccbbb2cd6e,Apollo Pharmacy,pharmacy,"Door No 20/3/123/4/C Shop no 3 AK Palli, Road, Yeramitta, Tirupati"
12,13.6369731,79.4183168,5f5f249932a826131db6c9c59eeaf56568096de0,Apollo Pharmacy,pharmacy,"Ghantasala Circle, Door No 10/2/138/A4 lokesh photography, Theertha Katta Street, Tirupati"
14,13.6175167,79.4083827,e0fda45a2a3901715fbe9b8b1fb904d19692a4ef,Apollo Pharmacy,pharmacy,"Door No 23, 4/16, Sri Krishna Nagar Road, Vk Puram, Tirupati"
18,13.6185092,79.4311614,49d459802358230f46e75d7bfdb87bbdbdfff002,Apollo Pharmacy,pharmacy,"Door No 4/65, Assesment No 276 Tiruchanur Road, Padmavathipuram Rayalaseema, Tirupati"
18,13.6231811,79.4279353,6e3b2d96c27074a4f880387734d27ff97599afda,Apollo Pharmacy,pharmacy,"Door No 19/9/29/2A Sankaramadi Circle, Tiruchanoor Road, Rayalaseema, Tirupati"
19,13.62117,79.4166681,9f1aee9bc81c56b7d8c76c3d0cd3cb41a39d2e39,Apollo Pharmacy,pharmacy,"Door No 19/8/9, Shop No 2, RC Road, AIR Bypass Road, Tirupati"
19,13.6204812,79.422478,5ddf1c4187a3cffaec9d97bcd0d535a3917250be,Apollo Pharmacy,pharmacy,"Near, Door No 19/12/664, Shop No 2 Super Market, More, Bairagi patteda, Tirupati"
19,13.6228424,79.4237514,de1834ac640cd1df37e0b5eab26cf07313f83c3c,Apollo Pharmacy,pharmacy,"Door No 19/16, 50/D, Doctor Mahal Road, Circle, Tirupati"
19,13.6251999,79.4169602,bbfda2a8256ae17fe24af43b1bbb4cc3560b6ecc,Apollo Pharmacy,pharmacy,"Survey No 246/1, Shop No 8/66/2B RC Road Rayalaseema, Tirupati"
16,13.6349037,79.4333705,d27dfd4ad3e6b7c481cc73f91f808ec486a7ec8a,Arogya Pharmacy House,pharmacy,"20-2-496/2b, Maruthi Nagar, Tirupati"
18,13.6225695,79.4304459,f41aba32ad95b58658aa02029c4927892789f063,Bhargavi Medicals,pharmacy,"near Lakshmipuram Circle, Tiruchanoor Road, near Lakshmipuram Circle, Tirupati"
12,13.6364491,79.4152584,fe73e47dcdb4e7c533de181399079eb0e475bc9e,"Bros Scientifics , Tirupati",pharmacy,"Gali Street, Nehru Nagar, Tirupati"
6,13.6228373,79.4096886,387490faa2a36e18197b2c1e9999f88d465be4a0,Care Pharmacy,pharmacy,"Door No. 9-60-1, Opp. Manas Hospital, Amaravathi Nagar, M.R. Palli Circle, Tirupati"
16,13.6349616,79.4334123,943eaaa0c986ac33cf85847371bc03f8d2758039,Chandra Sekar (Arogya Pharmacy)house,pharmacy,"Maruthi Nagar, Tirupati"
2,13.6341184,79.4196153,97785c4b4d0b5652e56579d8830d0835ad47ac39,City Medical Shop,pharmacy,"Dodda Puram Street, Varadaraja Nagar, Tirupati"
6,13.6207588,79.4097442,1769af516e669bab4fca1ad24641580954cb7746,Devadithya Pharmacy,pharmacy,"near Vasvi Nagar, M.R. Palli, near Vasvi Nagar, Tirupati"
6,13.6203094,79.4097389,ea09d0e6d8656689978ecf41a795110e3b36d019,Devi Pharmacy,pharmacy,"Vasavi Nagar, M.R. Palli Road, Tirupati"
6,13.6243981,79.4066034,650160ca2cd5589601a5a3d2b2ec70259cb2db31,Dhathri Pharmacy & Cosmetics,pharmacy,"11-184, SV Nagar Road, Padmavathi Nagar, Tirupati"
