Location,Lat_Long
"Surabhi Gardens,Tirupati,Andhra Pradesh,IN","(13.6055,79.4138)"
"Ambedkar Colony, Tirupati, Andhra Pradesh, IN","(13.6082, 79.4199)"
"Oteru,Tirupati, Andhra Pradesh, IN","(13.6083, 79.4286)"
"Avilala church,Tirupati, Andhra Pradesh, IN","(13.6084, 79.4240)"
"Universal christian hospital,RC Road, Tirupati, Andhra Pradesh, IN","(13.6093, 79.4128)"
"R.K.Nagar,Tirupati, Andhra Pradesh, IN","(13.6098, 79.4314)"
"Saraswathi Nagar, Tirupati, Andhra Pradesh, IN","(13.6103, 79.4379)"
"Srihari caterers,Tirupati, Andhra Pradesh, IN","(13.6113, 79.4226)"
"Avilala,Tirupati, Andhra Pradesh, IN","(13.6116, 79.4210)"
"Grand ridge,Tirupati, Andhra Pradesh, IN","(13.6120, 79.4411)"
"S.S. Paradise, Tirupati, Andhra Pradesh, IN","(13.6122, 79.4242)"
"Mango market yard,Tirupati, Andhra Pradesh, IN","(13.6122, 79.4363)"
"Padmashali Bhavan,Tirupati, Andhra Pradesh, IN","(13.6122, 79.4455)"
"Bharath provision stores,Tirupati, Andhra Pradesh, IN","(13.6125, 79.4290)"
SANJEEVINI DHYANA  PYRAMID,"(13.6126,79.3886)"
"Sri Nagar Colony, Tirupati, Andhra Pradesh, IN","(13.6132, 79.4053)"
"Srinivasa Nialayam,Tirupati, Andhra Pradesh, IN","(13.6137, 79.4229)"
"Vaikuntapuram, Tirupati, Andhra Pradesh, IN","(13.6144, 79.4120)"
"Narayana Puram, Tirupati, Andhra Pradesh, IN","(13.6144, 79.4377)"
"Dhanalakshmi Nagar, Tirupati, Andhra Pradesh, IN","(13.6148, 79.4099)"
sv defence college tirupati,"(13.6153,79.3821)"
"Varshinee water plant,Tirupati, Andhra Pradesh, IN","(13.6155, 79.4227)"
"Kesavanagunta, Tirupati, Andhra Pradesh, IN","(13.6156, 79.4309)"
DR.M.S.Swaminathan Agriculture Society,"(13.6157,79.3884)"
"MR Palli, Tirupati, Andhra Pradesh, IN","(13.6159, 79.4067)"
"Gayatri Nagar, Tirupati, Andhra Pradesh, IN","(13.6162, 79.4043)"
"Konkachennaiahgunta,Tirupati, Andhra Pradesh, IN","(13.6162, 79.4517)"
"Vivekananda Circle, Tirupati, Andhra Pradesh, IN","(13.6165187, 79.4287806)"
"Lingeswara Nagar, Tirupati, Andhra Pradesh, IN","(13.6172, 79.4200)"
"Raghavendra Nagar, Tirupati, Andhra Pradesh, IN","(13.6176, 79.4299)"
"Munireddy Nagar, Tirupati, Andhra Pradesh, IN","(13.6178, 79.4049)"
"sree nilayam apartments,Tirupati, Andhra Pradesh, IN","(13.6178, 79.4518)"
"Bairagipatteda, Tirupati, Andhra Pradesh, IN","(13.6186167, 79.42184040000001)"
"New Balaji Colony, Tirupati, Andhra Pradesh, IN","(13.6195, 79.4155)"
"STV Nagar, Tirupati, Andhra Pradesh, IN","(13.6200, 79.4268)"
srivari furniture tirupati,"(13.6200,79.3794)"
"Tirumala towers,STV Nagar,Tirupati, Andhra Pradesh, IN","(13.6204, 79.4271)"
"LS Nagar, Tirupati, Andhra Pradesh, IN","(13.6209, 79.3884)"
"Koramanigunta, Tirupati, Andhra Pradesh, IN","(13.6216, 79.4369)"
"Padmavathi Nagar, Tirupati, Andhra Pradesh, IN","(13.6220, 79.4071)"
"LB Nagar, Tirupati, Andhra Pradesh, IN","(13.6224, 79.4048)"
"TTD Bypass Road, Tirupati, Andhra Pradesh, IN","(13.6225, 79.4178)"
"Shanthi Nagar, Tirupati, Andhra Pradesh, IN","(13.6228, 79.4092)"
"SBI Colony, Tirupati, Andhra Pradesh, IN","(13.6231, 79.4194)"
"Kennedy Nagar, Tirupati, Andhra Pradesh, IN","(13.6231, 79.4290)"
"Amaravathi Nagar, Tirupati, Andhra Pradesh, IN","(13.6232, 79.4095)"
"Rajeevgandhi Colony, Tirupati, Andhra Pradesh, IN","(13.6238, 79.4523)"
